Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time rows updated(days)
Housing and Buildings,1448927678,1517255372,Residential Projects With Inclusionary Requirements,3900,1501,"['inclusionary housing', 'section 415', 'planning', 'affordable housing', 'bmr', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Residential-Projects-With-Inclusionary-Requirement/nj3x-rw36,1517255250,881,655
Health and Social Services,1455310580,1524862970,Health Care Facilities,2019,1492,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Health-and-Social-Services/Health-Care-Facilities/jhsu-2pka,1524862034,807,807
Housing and Buildings,1399415531,1514924265,2013 Housing Inventory,1923,1489,"['2013', 'housing', 'new housing construction', 'housing units', 'net new units', 'demolition', 'merger', 'conversion', 'alteration', 'housing stock', 'housing inventory', 'illegal units removed', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/2013-Housing-Inventory/e7d3-dxh5,1514924232,1454,949
Transportation,1493764346,1524691198,SFMTA-Enforced Temporary Tow Zones,406,1475,"['parking', 'sfmta', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/SFMTA-Enforced-Temporary-Tow-Zones/9dsr-3f97,1519383062,362,4
Transportation,1394157216,1442352673,Meter Rate Schedules,1247,1392,"['meter', 'parking', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Meter-Rate-Schedules/fwjv-32uk,1458063074,1515,1515
Housing and Buildings,1440463256,1514925644,SF Development Pipeline 2015 Q2,996,1327,"['development', 'housing', 'residential', 'commercial', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2015-Q2/w3e8-bxrm,1514925611,979,362
Housing and Buildings,1450313518,1524906658,Fire Safety Complaints,767,1313,"['fire inspections', 'public complaints', '311', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Fire-Safety-Complaints/2wsq-7wmv,1524906028,865,1
City Management and Ethics,1335741975,1524843135,Campaign Finance - FPPC Form 460 - Schedule B1 - Loans Received,1910,1309,"['ethics', 'campaign', 'finance', 'loans', 'received', 'fppc', 'form', '460', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-B1-Loans-R/4phr-3hrm,1524927962,2191,2
City Management and Ethics,1402955203,1502404626,Budget - FTE,1065,1306,"['budget', 'fte', 'staffing', 'sfopenbook', 'open book', 'openbook', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Budget-FTE/4zfx-f2ts,1501025479,1413,262
Culture and Recreation,1487102811,1520535019,Privately Owned Public Open Spaces,1353,1301,"['popos', 'open space', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/Privately-Owned-Public-Open-Spaces/65ik-7wqd,1524906005,439,85
Transportation,1448986814,1521648640,SFO Gate and Stand Assignment Information,827,1292,"['sfo', 'airport', 'flight', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/SFO-Gate-and-Stand-Assignment-Information/chfu-j7tc,1521647461,880,39
Housing and Buildings,1455218800,1514675293,SF Development Pipeline 2015 Q4,1190,1287,"['planning', 'development', 'construction', 'residential', 'commercial', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2015-Q4/ra2x-jzmk,1514675267,808,363
Housing and Buildings,1447460378,1514675278,SF Development Pipeline 2015 Q3,1189,1286,"['planning', 'development', 'construction', 'residential', 'commercial', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2015-Q3/apz9-dh7k,1514675244,898,362
Geographic Locations and Boundaries,1395261225,1433353934,census_tracts_odata2,1283,1280,"['census', 'tableau', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Geographic-Locations-and-Boundaries/census_tracts_odata2/8mm5-z8i7,1458063092,1502,1502
Housing and Buildings,1450395387,1524907243,Fire Inspections,1583,1279,"['fire inspections', 'building safety', 'fire safety', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Fire-Inspections/wb4c-6hwj,1524906786,864,1
City Infrastructure,1365100942,1524928712,Surface Mounted Facility Permits,1682,1249,"['surface', 'mounted', 'facility', 'permits', 'surface mounted facility', 'surface mounted', 'smf', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Surface-Mounted-Facility-Permits/xu5w-5kgd,1524928285,1851,1
Transportation,1360192667,1514924200,2012 SFO Customer Survey,1058,1219,"['sfo', 'airport', 'customer', 'survey', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/2012-SFO-Customer-Survey/ckai-dve4,1515204862,1908,1908
City Infrastructure,1423097894,1522173210,"DPW Street & Sidewalk Evaluation Results, 7-1-2013 to Present",1005,1202,"['controller&#39;s street evaluation program', 'street', 'sidewalk', 'inspection', 'evaluation', 'results', 'performance', 'graffiti', 'trash', 'tree', 'grime', 'leaks', 'spills', 'litter', 'street sweeping', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/DPW-Street-Sidewalk-Evaluation-Results-7-1-2013-to/83ki-hu3p,1522172748,1180,33
City Management and Ethics,1335474486,1522110292,[Known Issue] Lobbyist Client Directory,3190,1193,"['ethics', 'lobbyist', 'client', 'directory', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/-Known-Issue-Lobbyist-Client-Directory/u4y3-k4vs,1524927864,2194,78
Geographic Locations and Boundaries,1390459467,1524236593,Street Segment and Intersection (CNN) Change Log,1958,1192,"['cnn', 'base', 'map', 'basemap', 'street', 'segment', 'city reference data', 'ref:basemap', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Geographic-Locations-and-Boundaries/Street-Segment-and-Intersection-CNN-Change-Log/amiw-iisi,1524927629,1558,9
Housing and Buildings,1470351819,1493688634,SF Development Pipeline 2016 Q2,869,1158,"['planning', 'development', 'construction', 'residential', 'commercial', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2016-Q2/g5sr-9nhs,1493688011,633,363
Housing and Buildings,1419361850,1524920200,Requests for Information Regarding Protected Status Related to Owner Move-In Evictions,817,1157,"['estoppel notices', 'rent control', 'protected status', 'eviction', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Requests-for-Information-Regarding-Protected-Statu/ugv9-ywu3,1524919728,1223,1
City Management and Ethics,1467395123,1508274992,Inventory of citywide enterprise systems of record,1189,1144,"['inventory', 'open data', 'systems', 'gov code 6270.5', 'sb 272', 'sb272', 'ref:inventory', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Inventory-of-citywide-enterprise-systems-of-record/ebux-gcnq,1508274909,667,298
City Management and Ethics,1402953219,1520535203,Spending - FTE,814,1120,"['spending', 'fte', 'staffing', 'sfopenbook', 'open book', 'openbook', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Spending-FTE/43jt-u7yn,1520535135,1413,188
Health and Social Services,1457574938,1458866320,San Francisco Flood Health Vulnerability,2178,1109,"['climate change', 'flood', 'sea level rise', 'health impacts', 'health assessment', 'san francisco climate and health program', 'sfclimatehealth.org', 'community resiliency', 'public health', '@sfclimatehealth.org', 'dph', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Health-and-Social-Services/San-Francisco-Flood-Health-Vulnerability/cne3-h93g,1458866292,781,766
Culture and Recreation,1459286567,1459799946,Park Scores 2005-2014,599,1097,"['park scores', 'prop c', 'park', 'park maintenance', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/Park-Scores-2005-2014/fjq8-r8ws,1465575103,761,761
Culture and Recreation,1480636957,1483725579,Library Usage,593,1088,"['library', 'patron', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/Library-Usage/qzz6-2jup,1482431348,514,503
City Management and Ethics,1416944107,1514924233,Citywide Performance Measurement Annual Report FY14,1160,1088,"['citywide performance measurement', 'annual dataset', 'city departments', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Citywide-Performance-Measurement-Annual-Report-FY1/6h77-suve,1514924173,1251,1251
City Management and Ethics,1335804419,1524843225,Campaign Finance - FPPC Form 460 - Schedule I - Miscellaneous Increases to Cash,2287,1067,"['ethics', 'miscellaneous', 'increases', 'cash', 'fppc', 'form', '460', 'campaign', 'finance', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-I-Miscella/6ssu-ewuc,1524928285,2190,2
Housing and Buildings,1423554963,1513649980,Annual Allowable Rent Increase for Units Under Rent Control,1804,1055,"['rent increase', 'rent control', 'annual rent increase', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Annual-Allowable-Rent-Increase-for-Units-Under-Ren/hsxb-ci7b,1513649973,1175,132
City Management and Ethics,1335469055,1522110286,[Known Issue] Lobbyist Directory,5390,1030,"['ethics', 'lobbyist', 'directory', 'registered', 'individual', 'firm', 'photo', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/-Known-Issue-Lobbyist-Directory/exbu-si57,1524927606,2194,55
Public Safety,1450728785,1524906709,Fire Permits,823,1022,"['permits', 'fire safety', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Public-Safety/Fire-Permits/893e-xam6,1524906207,860,1
Housing and Buildings,1370047999,1514675495,SF Development Pipeline 2013 Q1,2007,973,"['pipeline', 'development', 'housing', 'commercial', 'real estate', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2013-Q1/bime-puj8,1514675446,1794,1794
City Infrastructure,1407959661,1524237228,Miles Of Streets,2152,960,"['miles', 'of', 'streets', 'controller', 'base', 'map', 'basemap', 'jurisdiction', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Miles-Of-Streets/5s76-j52p,1524928305,1355,9
Transportation,1461108978,1517874974,Air Traffic Cargo Statistics,911,959,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Air-Traffic-Cargo-Statistics/u397-j8nr,1517874845,740,83
Housing and Buildings,1419032966,1514675320,SF Development Pipeline 2014 Q3,1043,944,"['pipeline', 'development', 'housing', 'construction', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2014-Q3/n5ik-nmm3,1514675292,1227,1227
Housing and Buildings,1459962943,1524936610,Department of Building Inspection Complaints (All Divisions),318,934,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Department-of-Building-Inspection-Complaints-All-D/gm2e-bten,1524935040,753,1
Culture and Recreation,1458086910,1461352665,Assets Maintained by the Recreation and Parks Department,481,934,"['picnic tables', 'benches', 'trash cans', 'sheds', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/Assets-Maintained-by-the-Recreation-and-Parks-Depa/ays8-rxxc,1461350347,775,744
Housing and Buildings,1392076747,1514675491,SF Development Pipeline 2013 Q4,1157,914,"['pipeline', 'development', 'housing', 'construction', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2013-Q4/ep85-j8df,1514675431,1539,1539
City Management and Ethics,1337378542,1500669879,"Campaign Finance - Summary of Third Party Disclosure Forms Regarding San Francisco Candidates - November 6, 2012",1352,904,"['ethics', 'campaign', 'finance', 'third-party', 'disclosure', 'candidates', 'november', 'election', '2012', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Summary-of-Third-Party-Disclosure/n84t-vfnk,1500669690,2172,1990
Housing and Buildings,1479033069,1524940044,Notices of Violation issued by the Department of Building Inspection,260,902,"['code violations', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Notices-of-Violation-issued-by-the-Department-of-B/nbtm-fbw5,1524938710,532,1
Housing and Buildings,1459962943,1524936610,Department of Building Inspection Complaints (All Divisions),318,935,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/d/gm2e-bten,1524935040,753,1
Housing and Buildings,1513724112,1513813350,SF Development Pipeline 2017 Q3,419,894,"['pipeline', 'planning', 'map', 'construction', 'permits', 'development', 'housing', 'residential', 'commercial', 'building', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2017-Q3/ua32-eewd,1514441600,131,131
Health and Social Services,1473810546,1524070397,Call Center Metrics for the Health Service System,2575,886,"['call center', 'metrics', 'performance', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Health-and-Social-Services/Call-Center-Metrics-for-the-Health-Service-System/qz8r-q5ne,1524070079,593,11
City Infrastructure,1483120485,1524843100,Parking Signs / Street Space Permits,1620,885,"['permits', 'construction', 'buildings', 'sidewalk', 'sfmta', 'tow', 'verification', 'street', 'space', 'parking', 'signs', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Parking-Signs-Street-Space-Permits/sftu-nd43,1524928194,485,2
City Infrastructure,1484260187,1524843103,Parking Signs / Street Space Permit Photos,1347,419,"['permits', 'construction', 'buildings', 'sidewalk', 'sfmta', 'tow', 'verification', 'photos', 'street', 'space', 'parking', 'signs', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/d/pigs-fac7,1524928215,472,2
City Infrastructure,1447543586,1524237267,Street Acceptance Data,962,858,"['acceptance', 'jurisdiction', 'caltrans', 'maintenance', 'right', 'of', 'way', 'paving', 'accepted', 'streets', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Street-Acceptance-Data/abvp-arbf,1524928376,897,9
City Infrastructure,1433878356,1524496420,Large Utility Excavation Permits,1416,854,"['excavation', 'paving', 'utilities', '5', 'year', 'plan', 'permits', 'utility', 'large', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Large-Utility-Excavation-Permits/i926-ujnc,1524496326,1055,6
Energy and Environment,1455298818,1455656389,"Energy Benchmarking, San Francisco Municipal Buildings",991,832,"['environment', 'climate change', 'energy', 'sustainability', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Energy-and-Environment/Energy-Benchmarking-San-Francisco-Municipal-Buildi/eg8h-pgn3,1455648806,807,807
Housing and Buildings,1464212363,1524273785,Housing Balance March 2016,1025,830,"['development', 'housing', 'residential', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Housing-Balance-March-2016/8iri-b2sz,1524273675,704,704
City Management and Ethics,1335481477,1521038752,[Known Issue] Lobbyist Activity - Activity Expenses,2357,829,"['ethics', 'lobbyist', 'activity', 'expense', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/-Known-Issue-Lobbyist-Activity-Activity-Expenses/rvdt-bv57,1524927858,2194,78
City Management and Ethics,1459461414,1524396138,Purchasing Commodity Data,1057,821,"['spending', 'amount', 'vendor', 'purchase order', 'purchasing', 'commodity', 'procurement', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Purchasing-Commodity-Data/ebsh-uavg,1517966305,759,7
Housing and Buildings,1348521665,1514675364,SF Development Pipeline 2012 Q2,1605,804,"['pipeline', 'development', 'growth', 'housing', 'commercial', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2012-Q2/ugxk-ztb8,1514675340,2043,2043
City Management and Ethics,1395876023,1524403786,Vendor Payments (Vouchers),830,801,"['spending', 'amount', 'vendor', 'voucher', 'sfopenbook', 'open book', 'openbook', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Vendor-Payments-Vouchers-/n9pm-xkyq,1517966195,1495,7
City Management and Ethics,1375812604,1524903711,Campaign Finance - San Francisco Campaign Committees and Other Campaign Filers,2596,800,"['ethics', 'committees', 'campaign', 'elections', 'finance', 'ballot measure', 'candidate', 'major donor', 'independent expenditure', 'slate mailer', 'general purpose', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-San-Francisco-Campaign-Committees/t7mf-3ftv,1497918503,1727,1
City Management and Ethics,1435340334,1514925182,"Campaign Finance - Summary of Third Party Expenditures Regarding San Francisco Candidates - November 3, 2015",793,798,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Summary-of-Third-Party-Expenditur/8wra-euu9,1514925069,1038,802
City Infrastructure,1411084525,1522717199,311 Cases by Channel,1689,796,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/311-Cases-by-Channel/jz25-nkm4,1522717181,1319,27
Housing and Buildings,1438402164,1514675249,SF Development Pipeline 2015 Q1,1191,795,"['planning', 'development', 'construction', 'residential', 'commercial', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2015-Q1/2cma-9y6y,1514675182,1003,362
City Infrastructure,1406159366,1483728051,FY07-11 Street Evaluation Results,1083,786,"['controller&#39;s street evaluation program', 'street evaluation', 'litter', 'street', 'sidewalk', 'inspection', 'results', 'performance', 'graffiti', 'trash', 'tree', 'grime', 'leaks', 'spills', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/FY07-11-Street-Evaluation-Results/i8y7-m763,1483728035,1376,1376
City Infrastructure,1348531341,1524582867,Permit Types,2337,784,"['permits', 'street', 'use', 'permit', 'type', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Permit-Types/6wa6-8527,1524928016,2043,5
Culture and Recreation,1441214809,1485392665,San Francisco Arts Commission Grants FY2004-2016,1494,776,"['art', 'arts', 'grants', 'culture', 'artists', 'arts organizations', 'cultural center', 'cultural centers', 'arts funding', 'grant funding', 'arts commission', 'sfac', 'artist', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/San-Francisco-Arts-Commission-Grants-FY2004-2016/mxvq-mfs5,1485392647,970,459
Transportation,1460154679,1518023813,Aircraft Noise Complaint Data,1084,744,"['aircraft', 'noise', 'complaints', 'sfo', 'airlines', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Aircraft-Noise-Complaint-Data/q3xd-hfi8,1518022529,751,81
Housing and Buildings,1451333052,1524920499,Appeals to the Rent Board,546,730,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Appeals-to-the-Rent-Board/w2ze-eag5,1524919257,853,1
Housing and Buildings,1459965474,1524939760,Electrical Permits,774,724,"['construction permits', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Electrical-Permits/ftty-kx6y,1524938576,753,1
City Management and Ethics,1513200066,1523044574,"311 Top Articles Referenced (current, from Nov. 2017 forward)",298,722,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/311-Top-Articles-Referenced-current-from-Nov-2017-/3tsy-c2sd,1523044547,137,23
Transportation,1456536811,1498927173,Muni Driver Reported Transit Only Lane Violations,576,721,"['traffic', 'lanes', 'muni', 'violations', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Muni-Driver-Reported-Transit-Only-Lane-Violations/sd75-dps9,1461773567,793,302
City Management and Ethics,1331922167,1442352018,"Campaign Finance - Summary Financial Data for Committees Controlled by Candidates for Mayor - November 8, 2011 Election",1038,716,"['mayor', 'election', '2011', 'campaign', 'finance', 'contributions', 'expenditures', 'loans', 'cash', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Summary-Financial-Data-for-Commit/csud-q746,1501777853,2235,2232
City Infrastructure,1454464467,1524756447,Streets Data -Historical Pavement Condition Index (PCI) Scores,695,715,"['paving', 'pci', 'score', 'historical', 'streets', 'condition', 'index', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Streets-Data-Historical-Pavement-Condition-Index-P/78va-8dhi,1524927949,817,3
Housing and Buildings,1459981749,1524935981,Boiler Permits,824,699,"['construction permits', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Boiler-Permits/5dp4-gtxk,1524934867,753,1
Housing and Buildings,1410543800,1514675487,SF Development Pipeline 2014 Q2,1401,687,"['pipeline', 'development', 'housing', 'construction', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2014-Q2/fv2q-qaux,1514675411,1325,1325
Housing and Buildings,1478964855,1493688230,SF Development Pipeline 2016 Q3,947,674,"['planning', 'development', 'construction', 'residential', 'commercial', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2016-Q3/k7mk-w2pq,1514675026,533,363
Housing and Buildings,1358555275,1514675499,SF Development Pipeline 2012 Q4,1198,673,"['development', 'housing', 'construction', 'planning', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2012-Q4/b2bw-u33d,1514675464,1927,1927
Housing and Buildings,1459982851,1524940596,Plumbing Permits,851,662,"['construction permits', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Plumbing-Permits/a6aw-rudh,1524939471,753,1
City Management and Ethics,1340829029,1524929062,Campaign Finance - FPPC Form 496 - Late Independent Expenditure Report - Part 3 - Contributions of $100 or More Received,1478,657,"['ethics', 'campaign', 'finance', 'monetary', 'contributions', 'fppc', 'form', '496', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-496-Late-Independent-Ex/p4sp-es3b,1524928106,2132,1
Transportation,1453247568,1507757718,Aircraft Parking Activity Records at SFO,711,653,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Aircraft-Parking-Activity-Records-at-SFO/5rkh-waic,1507757616,831,200
City Management and Ethics,1420756610,1524786298,Permit Consultant Registration and Quarterly Disclosure Reports,1454,638,"['permit consultant', 'registration', 'quarterly', 'disclosure', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Permit-Consultant-Registration-and-Quarterly-Discl/py46-sknn,1524785367,1207,3
City Management and Ethics,1374255138,1524883389,Campaign Consultants - Client Payments,1956,630,"['campaign consultant', 'ethics', 'payments', 'promised', 'received', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Consultants-Client-Payments/tc9q-72uj,1499970558,1745,1
City Infrastructure,1443131021,1524669518,Wireless Service Facility Permits,1724,628,"['wireless', 'permits', 'mobile', 'antenna', 'cell', 'phone', 'telecommunication', 'service', 'facility', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Wireless-Service-Facility-Permits/xtj2-daw9,1524928322,948,4
Housing and Buildings,1486606971,1493686986,SF Development Pipeline 2016 Q4,563,621,"['pipeline', 'planning', 'residential', 'commercial', 'construction', 'development', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2016-Q4/d7xx-7z6v,1514675053,445,421
Housing and Buildings,1387312109,1514675385,SF Development Pipeline 2013 Q3,1614,603,"['pipeline', 'housing', 'commercial', 'development', 'building', 'retail', 'condos', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2013-Q3/hxup-t2n6,1514675360,1594,1594
City Management and Ethics,1335803211,1524843226,Campaign Finance - FPPC Form 460 - Schedule H - Loans Made to Others,2905,599,"['ethics', 'campaign', 'finance', 'loans', 'others', 'fppc', 'form', '460', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-H-Loans-Ma/62ex-d3qk,1524927956,2190,2
City Management and Ethics,1416943192,1514924240,Citywide Performance Measurement Annual Report FY13,854,585,"['citywide performance measurement', 'annual dataset', 'city departments', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Citywide-Performance-Measurement-Annual-Report-FY1/5x94-tptc,1514924191,1251,1251
City Management and Ethics,1475111080,1524866515,[alpha] Master data dictionary,1541,580,"['data dictionary', 'field definitions', 'metadata', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/-alpha-Master-data-dictionary/wn8x-uk7i,1508790737,578,2
Housing and Buildings,1402709266,1514675391,SF Development Pipeline 2014 Q1,1336,576,"['pipeline', 'development', 'housing', 'construction', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2014-Q1/g383-7xmf,1514675378,1416,1416
City Management and Ethics,1344987974,1524883089,Campaign Consultants - List of Registered Campaign Consultants and their Respective Clients,2284,575,"['campaign', 'consultant', 'client', 'registered', 'ethics', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Consultants-List-of-Registered-Campaign-C/wchi-36a5,1499281064,2084,1
Culture and Recreation,1459815647,1460766005,Recreation and Park Department's Facility Conditions Assessment,479,569,"['comet', 'capital assets', 'capital program', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/Recreation-and-Park-Department-s-Facility-Conditio/dza3-i9eu,1460756167,755,755
Housing and Buildings,1377729742,1514675478,SF Development Pipeline 2013 Q2,2130,557,"['pipeline', 'development', 'housing', 'commercial', 'real estate', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2013-Q2/evrp-pcmc,1514675395,1705,1705
City Infrastructure,1460148662,1475691568,Web Analytics for SFGov sites - 2016 (Q1+Q2+Q3),590,543,"['web', 'sfgov', 'analytics', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Web-Analytics-for-SFGov-sites-2016-Q1-Q2-Q3-/iy4m-quhy,1475691464,751,571
Transportation,1460151827,1518023814,Noise Exceedance Rating,726,543,"['aircraft', 'noise', 'sfo', 'airport', 'airlines', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Noise-Exceedance-Rating/5m6g-bqm4,1518022661,751,81
Housing and Buildings,1399415922,1514924275,2012 Housing Inventory,1575,537,"['2012', 'housing', 'new housing construction', 'housing units', 'net new units', 'demolition', 'merger', 'conversion', 'alteration', 'housing stock', 'housing inventory', 'illegal units removed', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/2012-Housing-Inventory/4xa2-t52k,1514924254,1454,949
Health and Social Services,1450373182,1474413671,City and County of San Francisco - LIVES standard feed info,1664,536,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Health-and-Social-Services/City-and-County-of-San-Francisco-LIVES-standard-fe/77fi-8jag,1487116662,864,864
Culture and Recreation,1454370293,1514924437,SFO Museum Exhibitions,1313,528,"['museum', 'exhibition', 'art', 'exhibit', 'aviation', 'history', 'gallery', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/SFO-Museum-Exhibitions/bjtz-s8v8,1514924416,818,818
